




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (8962)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (expected)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (over/under)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (fold Enrichment)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (raw P-value)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (FDR)
positive regulation of immune response (GO:0050778)	747	228	325.06	-	.70	1.15E-06	6.62E-05
immune response-regulating signaling pathway (GO:0002764)	495	147	215.40	-	.68	2.46E-05	1.12E-03
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	146	214.10	-	.68	2.79E-05	1.26E-03
response to bacterium (GO:0009617)	721	210	313.75	-	.67	9.32E-08	6.52E-06
defense response to other organism (GO:0098542)	1038	300	451.69	-	.66	4.37E-11	5.19E-09
Unclassified (UNCLASSIFIED)	2744	790	1194.06	-	.66	2.46E-29	2.78E-26
regulation of immune effector process (GO:0002697)	435	123	189.29	-	.65	1.17E-05	5.53E-04
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	128	198.00	-	.65	6.22E-06	3.10E-04
immune response-activating signal transduction (GO:0002757)	455	128	198.00	-	.65	6.22E-06	3.09E-04
activation of immune response (GO:0002253)	530	149	230.63	-	.65	8.95E-07	5.28E-05
innate immune response (GO:0045087)	848	237	369.01	-	.64	2.21E-10	2.35E-08
antigen receptor-mediated signaling pathway (GO:0050851)	299	83	130.11	-	.64	1.69E-04	6.37E-03
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	61	96.60	-	.63	1.12E-03	3.13E-02
cell recognition (GO:0008037)	241	63	104.87	-	.60	2.03E-04	7.44E-03
G protein-coupled receptor signaling pathway (GO:0007186)	1305	340	567.88	-	.60	1.62E-19	4.21E-17
sensory perception (GO:0007600)	979	229	426.02	-	.54	6.86E-20	1.90E-17
epidermal cell differentiation (GO:0009913)	322	73	140.12	-	.52	1.01E-07	7.01E-06
membrane invagination (GO:0010324)	148	31	64.40	-	.48	8.23E-05	3.35E-03
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	54	117.06	-	.46	2.32E-08	1.78E-06
defense response to Gram-negative bacterium (GO:0050829)	91	18	39.60	-	.45	1.15E-03	3.20E-02
plasma membrane invagination (GO:0099024)	141	27	61.36	-	.44	3.14E-05	1.40E-03
cell killing (GO:0001906)	126	23	54.83	-	.42	3.41E-05	1.50E-03
cornification (GO:0070268)	113	20	49.17	-	.41	6.10E-05	2.56E-03
antimicrobial humoral response (GO:0019730)	154	27	67.01	-	.40	2.01E-06	1.11E-04
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	17	44.39	-	.38	7.99E-05	3.27E-03
defense response to bacterium (GO:0042742)	350	56	152.30	-	.37	7.71E-15	1.33E-12
phagocytosis, engulfment (GO:0006911)	132	21	57.44	-	.37	2.24E-06	1.23E-04
keratinocyte differentiation (GO:0030216)	270	42	117.49	-	.36	3.28E-12	4.44E-10
lymphocyte mediated immunity (GO:0002449)	259	40	112.70	-	.35	7.08E-12	9.03E-10
adaptive immune response (GO:0002250)	658	101	286.33	-	.35	1.49E-28	1.31E-25
killing of cells of other organism (GO:0031640)	87	13	37.86	-	.34	7.14E-05	2.96E-03
humoral immune response (GO:0006959)	386	55	167.97	-	.33	8.16E-19	1.98E-16
detection of stimulus (GO:0051606)	721	102	313.75	-	.33	1.82E-34	2.88E-31
production of molecular mediator of immune response (GO:0002440)	141	17	61.36	-	.28	8.64E-09	7.34E-07
B cell mediated immunity (GO:0019724)	205	24	89.21	-	.27	9.18E-13	1.34E-10
immunoglobulin production (GO:0002377)	138	16	60.05	-	.27	5.49E-09	4.77E-07
sensory perception of taste (GO:0050909)	69	8	30.03	-	.27	5.21E-05	2.22E-03
immunoglobulin mediated immune response (GO:0016064)	201	22	87.47	-	.25	3.94E-13	5.88E-11
peptide cross-linking (GO:0018149)	102	11	44.39	-	.25	2.80E-07	1.83E-05
regulation of humoral immune response (GO:0002920)	142	14	61.79	-	.23	2.06E-10	2.22E-08
keratinization (GO:0031424)	227	22	98.78	-	.22	3.11E-16	5.78E-14
B cell receptor signaling pathway (GO:0050853)	129	10	56.13	-	.18	4.65E-11	5.45E-09
regulation of complement activation (GO:0030449)	118	9	51.35	-	.18	1.92E-10	2.07E-08
phagocytosis, recognition (GO:0006910)	106	8	46.13	-	.17	1.97E-09	1.82E-07
detection of stimulus involved in sensory perception (GO:0050906)	557	40	242.38	-	.17	8.57E-47	2.26E-43
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	8	71.80	-	.11	2.41E-17	5.09E-15
complement activation (GO:0006956)	177	8	77.02	-	.10	6.42E-19	1.59E-16
sensory perception of chemical stimulus (GO:0007606)	543	24	236.29	-	.10	9.21E-57	3.64E-53
antigen processing and presentation of endogenous antigen (GO:0019883)	26	1	11.31	-	.09	1.19E-03	3.29E-02
complement activation, classical pathway (GO:0006958)	161	6	70.06	-	.09	1.93E-18	4.35E-16
sensory perception of smell (GO:0007608)	468	16	203.65	-	.08	2.95E-53	9.33E-50
detection of chemical stimulus (GO:0009593)	522	13	227.15	-	.06	3.11E-64	1.64E-60
sensory perception of bitter taste (GO:0050913)	41	1	17.84	-	.06	1.06E-05	5.03E-04
opsonization (GO:0008228)	72	1	31.33	-	.03	2.09E-10	2.23E-08
cellular glucuronidation (GO:0052695)	19	0	8.27	-	 < 0.01	1.73E-03	4.52E-02
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	15.67	-	 < 0.01	3.72E-06	1.99E-04
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	0	18.28	-	 < 0.01	5.15E-07	3.18E-05
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	191.90	-	 < 0.01	2.27E-70	1.79E-66
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	0	211.48	-	 < 0.01	1.50E-77	2.38E-73
